Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2017,./data/BPIC17.jsonocel,5,2,"(Offer,2)",O_Create Offer,Offer,1.5322144990204833,49.870199889992364,2.9377633379772305
2017,./data/BPIC17.jsonocel,5,3,"(Offer,3)",O_Create Offer,Offer,1.5148299450520426,49.870199889992364,2.9377633379772305
2017,./data/BPIC17.jsonocel,5,4,"(Offer,4)",O_Create Offer,Offer,1.5245129839750007,49.870199889992364,2.9377633379772305
2017,./data/BPIC17.jsonocel,5,5,"(Offer,5)",O_Create Offer,Offer,1.5118969699833542,49.870199889992364,2.9377633379772305
2019,./data/BPIC19.jsonocel,5,1,"(POItem,1)",Record Goods Receipt,POItem,2.416539316996932,78.48477703699609,8.148509406019002
2019,./data/BPIC19.jsonocel,5,2,"(POItem,2)",Record Goods Receipt,POItem,2.8965756309917197,78.48477703699609,8.148509406019002
2019,./data/BPIC19.jsonocel,5,3,"(POItem,3)",Record Goods Receipt,POItem,2.9230789249995723,78.48477703699609,8.148509406019002
2019,./data/BPIC19.jsonocel,5,4,"(POItem,4)",Record Goods Receipt,POItem,2.825180804997217,78.48477703699609,8.148509406019002
2019,./data/BPIC19.jsonocel,5,5,"(POItem,5)",Record Goods Receipt,POItem,2.8468897119746543,78.48477703699609,8.148509406019002
2014,./data/BPIC14.jsonocel,6,1,"(Interaction,1)",Assignment,Interaction,1.2745310069876723,34.70418795605656,3.554583012009971
2014,./data/BPIC14.jsonocel,6,2,"(Interaction,2)",Assignment,Interaction,1.5446610340150073,34.70418795605656,3.554583012009971
2014,./data/BPIC14.jsonocel,6,3,"(Interaction,3)",Assignment,Interaction,1.1507386619923636,34.70418795605656,3.554583012009971
2014,./data/BPIC14.jsonocel,6,4,"(Interaction,4)",Assignment,Interaction,1.0934998860466294,34.70418795605656,3.554583012009971
2014,./data/BPIC14.jsonocel,6,5,"(Interaction,5)",Assignment,Interaction,1.1005303260171786,34.70418795605656,3.554583012009971
2014,./data/BPIC14.jsonocel,6,6,"(Interaction,6)",Assignment,Interaction,1.0926329490030184,34.70418795605656,3.554583012009971
2016,./data/BPIC16.jsonocel,6,1,"(Session,1)",taken,Session,21.825031663000118,646.254416420008,57.078269249992445
2016,./data/BPIC16.jsonocel,6,2,"(Session,2)",taken,Session,24.92555603396613,646.254416420008,57.078269249992445
2016,./data/BPIC16.jsonocel,6,3,"(Session,3)",taken,Session,24.70671504503116,646.254416420008,57.078269249992445
2016,./data/BPIC16.jsonocel,6,4,"(Session,4)",taken,Session,24.731350905960426,646.254416420008,57.078269249992445
2016,./data/BPIC16.jsonocel,6,5,"(Session,5)",taken,Session,27.645458944956772,646.254416420008,57.078269249992445
2016,./data/BPIC16.jsonocel,6,6,"(Session,6)",taken,Session,26.663802166993264,646.254416420008,57.078269249992445
2017,./data/BPIC17.jsonocel,6,1,"(Offer,1)",O_Create Offer,Offer,1.1691716000204906,47.02651843801141,2.9878769789938815
2017,./data/BPIC17.jsonocel,6,2,"(Offer,2)",O_Create Offer,Offer,1.4454965580371208,47.02651843801141,2.9878769789938815
2017,./data/BPIC17.jsonocel,6,3,"(Offer,3)",O_Create Offer,Offer,1.4020576190087013,47.02651843801141,2.9878769789938815
2017,./data/BPIC17.jsonocel,6,4,"(Offer,4)",O_Create Offer,Offer,1.4051008469541557,47.02651843801141,2.9878769789938815
2017,./data/BPIC17.jsonocel,6,5,"(Offer,5)",O_Create Offer,Offer,1.4274423149763606,47.02651843801141,2.9878769789938815
2017,./data/BPIC17.jsonocel,6,6,"(Offer,6)",O_Create Offer,Offer,1.388454464962706,47.02651843801141,2.9878769789938815
2019,./data/BPIC19.jsonocel,6,1,"(POItem,1)",Record Goods Receipt,POItem,2.312770539021585,79.28334801195888,8.047109195031226
2019,./data/BPIC19.jsonocel,6,2,"(POItem,2)",Record Goods Receipt,POItem,2.8247052970109507,79.28334801195888,8.047109195031226
2019,./data/BPIC19.jsonocel,6,3,"(POItem,3)",Record Goods Receipt,POItem,2.7215649010031484,79.28334801195888,8.047109195031226
2019,./data/BPIC19.jsonocel,6,4,"(POItem,4)",Record Goods Receipt,POItem,2.758617100014817,79.28334801195888,8.047109195031226
2019,./data/BPIC19.jsonocel,6,5,"(POItem,5)",Record Goods Receipt,POItem,3.456761187000666,79.28334801195888,8.047109195031226
2019,./data/BPIC19.jsonocel,6,6,"(POItem,6)",Record Goods Receipt,POItem,2.7235711280372925,79.28334801195888,8.047109195031226
2014,./data/BPIC14.jsonocel,7,1,"(Interaction,1)",Assignment,Interaction,1.4548997329548001,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,2,"(Interaction,2)",Assignment,Interaction,1.5651729670353234,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,3,"(Interaction,3)",Assignment,Interaction,1.4748939499841072,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,4,"(Interaction,4)",Assignment,Interaction,1.0887784879887477,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,5,"(Interaction,5)",Assignment,Interaction,1.1149488280061632,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,6,"(Interaction,6)",Assignment,Interaction,1.1065017170039937,34.584952809032984,3.4973776250262745
2014,./data/BPIC14.jsonocel,7,7,"(Interaction,7)",Assignment,Interaction,1.0925010109785944,34.584952809032984,3.4973776250262745
2016,./data/BPIC16.jsonocel,7,1,"(Session,1)",taken,Session,20.679693575948477,644.35749682202,57.258793240005616
2016,./data/BPIC16.jsonocel,7,2,"(Session,2)",taken,Session,22.738218525017146,644.35749682202,57.258793240005616
2016,./data/BPIC16.jsonocel,7,3,"(Session,3)",taken,Session,23.176803255046252,644.35749682202,57.258793240005616
2016,./data/BPIC16.jsonocel,7,4,"(Session,4)",taken,Session,22.78738156001782,644.35749682202,57.258793240005616
2016,./data/BPIC16.jsonocel,7,5,"(Session,5)",taken,Session,23.835486240044702,644.35749682202,57.258793240005616
